index,dteday,season_nm,weathersit_nm,temp_val,casual,registered,cnt
0,2011-01-01,Spring,Mist + Cloudy,8.0,331,654,985
1,2011-01-02,Spring,Mist + Cloudy,9.0,131,670,801
2,2011-01-03,Spring,Clear,1.0,120,1229,1349
3,2011-01-04,Spring,Clear,1.0,108,1454,1562
4,2011-01-05,Spring,Clear,3.0,82,1518,1600
5,2011-01-06,Spring,Clear,2.0,88,1518,1606
6,2011-01-07,Spring,Mist + Cloudy,1.0,148,1362,1510
7,2011-01-08,Spring,Mist + Cloudy,-0.0,68,891,959
8,2011-01-09,Spring,Clear,-1.0,54,768,822
9,2011-01-10,Spring,Clear,-1.0,41,1280,1321
10,2011-01-11,Spring,Mist + Cloudy,-0.0,43,1220,1263
11,2011-01-12,Spring,Clear,0.0,25,1137,1162
12,2011-01-13,Spring,Clear,-0.0,38,1368,1406
13,2011-01-14,Spring,Clear,-0.0,54,1367,1421
14,2011-01-15,Spring,Mist + Cloudy,3.0,222,1026,1248
15,2011-01-16,Spring,Clear,3.0,251,953,1204
16,2011-01-17,Spring,Mist + Cloudy,0.0,117,883,1000
17,2011-01-18,Spring,Mist + Cloudy,2.0,9,674,683
18,2011-01-19,Spring,Mist + Cloudy,6.0,78,1572,1650
19,2011-01-20,Spring,Mist + Cloudy,4.0,83,1844,1927
20,2011-01-21,Spring,Clear,0.0,75,1468,1543
21,2011-01-22,Spring,Clear,-5.0,93,888,981
22,2011-01-23,Spring,Clear,-3.0,150,836,986
23,2011-01-24,Spring,Clear,-3.0,86,1330,1416
24,2011-01-25,Spring,Mist + Cloudy,3.0,186,1799,1985
25,2011-01-26,Spring,Light Snow/Rain,2.0,34,472,506
26,2011-01-27,Spring,Clear,1.0,15,416,431
27,2011-01-28,Spring,Mist + Cloudy,2.0,38,1129,1167
28,2011-01-29,Spring,Clear,1.0,123,975,1098
29,2011-01-30,Spring,Clear,2.0,140,956,1096
30,2011-01-31,Spring,Mist + Cloudy,0.0,42,1459,1501
31,2011-02-01,Spring,Mist + Cloudy,1.0,47,1313,1360
32,2011-02-02,Spring,Mist + Cloudy,4.0,72,1454,1526
33,2011-02-03,Spring,Clear,1.0,61,1489,1550
34,2011-02-04,Spring,Mist + Cloudy,2.0,88,1620,1708
35,2011-02-05,Spring,Mist + Cloudy,3.0,100,905,1005
36,2011-02-06,Spring,Clear,5.0,354,1269,1623
37,2011-02-07,Spring,Clear,5.0,120,1592,1712
38,2011-02-08,Spring,Clear,2.0,64,1466,1530
39,2011-02-09,Spring,Mist + Cloudy,-2.0,53,1552,1605
40,2011-02-10,Spring,Clear,-1.0,47,1491,1538
41,2011-02-11,Spring,Clear,1.0,149,1597,1746
42,2011-02-12,Spring,Clear,2.0,288,1184,1472
43,2011-02-13,Spring,Clear,7.0,397,1192,1589
44,2011-02-14,Spring,Clear,12.0,208,1705,1913
45,2011-02-15,Spring,Clear,5.0,140,1675,1815
46,2011-02-16,Spring,Clear,7.0,218,1897,2115
47,2011-02-17,Spring,Clear,12.0,259,2216,2475
48,2011-02-18,Spring,Clear,17.0,579,2348,2927
49,2011-02-19,Spring,Clear,11.0,532,1103,1635
50,2011-02-20,Spring,Clear,5.0,639,1173,1812
51,2011-02-21,Spring,Mist + Cloudy,6.0,195,912,1107
52,2011-02-22,Spring,Clear,1.0,74,1376,1450
53,2011-02-23,Spring,Clear,2.0,139,1778,1917
54,2011-02-24,Spring,Mist + Cloudy,6.0,100,1707,1807
55,2011-02-25,Spring,Mist + Cloudy,9.0,120,1341,1461
56,2011-02-26,Spring,Clear,5.0,424,1545,1969
57,2011-02-27,Spring,Clear,8.0,694,1708,2402
58,2011-02-28,Spring,Mist + Cloudy,11.0,81,1365,1446
59,2011-03-01,Spring,Clear,5.0,137,1714,1851
60,2011-03-02,Spring,Clear,8.0,231,1903,2134
61,2011-03-03,Spring,Clear,1.0,123,1562,1685
62,2011-03-04,Spring,Mist + Cloudy,4.0,214,1730,1944
63,2011-03-05,Spring,Mist + Cloudy,10.0,640,1437,2077
64,2011-03-06,Spring,Mist + Cloudy,10.0,114,491,605
